Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),17.63,16.65,17.99,2256.50,16.66,16.66,16.66,17.56,17.93,17.97,17.98,17.98,17.98,0.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.01,128.00,129.00,16385.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.09
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.78,0.00,42.73,100.17,0.00,0.00,0.00,0.00,0.00,0.31,1.91,2.08,2.21,3.81
HTTP Connection Overhead (ms),0.78,0.00,42.73,100.17,0.00,0.00,0.00,0.00,0.00,0.31,1.91,2.08,2.21,3.81
HTTP Connection Reused (ratio),0.75,0.00,1.00,96.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),32.50,32.14,32.64,4159.78,32.16,32.30,32.43,32.48,32.52,32.55,32.58,32.59,32.63,0.09
HTTP Data Sent (KB),0.62,0.53,0.70,79.42,0.54,0.57,0.58,0.60,0.62,0.64,0.66,0.67,0.69,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7267.82,7116.69,7685.63,930280.75,7117.02,7119.48,7120.42,7124.03,7134.81,7267.25,7683.33,7684.28,7685.15,238.89
HTTP Receiving (ms),6904.43,6893.90,6920.17,883767.35,6894.80,6895.26,6895.77,6898.56,6901.60,6907.26,6918.91,6919.36,6920.05,8.67
HTTP Sending (ms),1.05,0.17,43.10,134.56,0.18,0.19,0.19,0.21,0.24,0.64,2.32,2.45,2.62,3.83
HTTP Total Time (ms),7268.60,7116.69,7725.11,930380.92,7117.02,7119.48,7120.42,7124.03,7134.81,7267.64,7685.46,7686.34,7687.50,240.28
HTTP Waiting (TTFB) (ms),362.33,220.66,781.65,46378.84,220.86,221.20,221.80,222.98,224.86,352.64,780.72,781.20,781.64,239.79
Input Sequence Length (tokens),120.00,120.00,120.00,15360.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00
Inter Chunk Latency (ms),55.09,51.52,114.59,883710.66,53.41,53.62,53.72,53.92,54.21,54.60,55.43,55.99,108.04,6.27
Inter Token Latency (ms),54.37,54.05,54.78,6958.78,54.28,54.29,54.30,54.31,54.34,54.39,54.48,54.48,54.49,0.08
OSL Mismatch Diff % (%),-0.01,-0.78,0.00,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Output Sequence Length (tokens),127.99,127.00,128.00,16383.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.09
Output Token Count (tokens),127.99,127.00,128.00,16383.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.09
Output Token Throughput Per User (tokens/sec/user),18.39,18.25,18.50,2354.44,18.35,18.35,18.36,18.39,18.40,18.41,18.42,18.42,18.42,0.03
Prefill Throughput Per User (tokens/sec/user),438.93,153.00,543.17,56183.59,153.03,153.12,153.22,363.67,532.67,537.24,540.25,541.63,542.67,165.03
Request Latency (ms),7267.93,7116.78,7685.83,930294.99,7117.11,7119.57,7120.53,7124.11,7134.90,7267.37,7683.50,7684.48,7685.33,238.93
Time to First Output Token (ms),363.94,220.92,784.33,46584.32,221.13,221.55,222.12,223.36,225.28,391.24,783.20,783.70,784.14,241.05
Time to First Token (ms),363.94,220.92,784.33,46584.32,221.13,221.55,222.12,223.36,225.28,391.24,783.20,783.70,784.14,241.05
Time to Second Token (ms),54.83,53.45,56.28,7018.00,53.92,54.13,54.20,54.35,54.54,54.85,56.09,56.11,56.16,0.74

Metric,Value
Benchmark Duration (sec),29.09
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),563.28
Request Count,128.00
Request Throughput (requests/sec),4.40
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),16383.00
Total Output Tokens (tokens),16383.00
Total Token Throughput (tokens/sec),1091.38


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
