Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),18.39,16.92,18.91,2354.44,17.35,17.35,17.35,18.40,18.73,18.75,18.77,18.77,18.78,0.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,16384.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.97,0.00,70.61,123.89,0.00,0.00,0.00,0.00,0.00,0.32,1.74,1.92,2.13,6.22
HTTP Connection Overhead (ms),0.97,0.00,70.61,123.89,0.00,0.00,0.00,0.00,0.00,0.32,1.74,1.92,2.13,6.22
HTTP Connection Reused (ratio),0.75,0.00,1.00,96.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),32.49,32.14,32.62,4159.34,32.14,32.31,32.43,32.48,32.51,32.54,32.58,32.59,32.61,0.09
HTTP Data Sent (KB),0.62,0.54,0.70,79.43,0.54,0.57,0.58,0.60,0.62,0.64,0.66,0.68,0.69,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6966.07,6817.42,7445.44,891656.87,6817.67,6819.04,6820.40,6825.09,6832.75,6961.98,7377.02,7377.86,7378.97,237.40
HTTP Receiving (ms),6630.83,6621.16,6651.97,848745.63,6621.36,6621.83,6622.24,6623.50,6635.05,6637.37,6639.60,6640.15,6641.70,7.38
HTTP Sending (ms),1.23,0.17,70.95,157.88,0.18,0.18,0.19,0.21,0.25,0.64,2.10,2.29,2.59,6.24
HTTP Total Time (ms),6967.04,6817.42,7516.05,891780.77,6817.67,6819.04,6820.40,6825.09,6832.75,6962.38,7378.65,7379.55,7380.60,239.30
HTTP Waiting (TTFB) (ms),334.01,187.24,740.11,42753.36,188.98,195.67,196.25,197.95,201.84,325.95,738.39,739.01,739.49,232.07
Input Sequence Length (tokens),120.00,120.00,120.00,15360.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00
Inter Chunk Latency (ms),53.15,50.23,106.91,848532.33,51.50,51.67,51.76,51.92,52.09,52.32,52.88,53.73,104.10,6.96
Inter Token Latency (ms),52.20,51.72,53.22,6681.79,51.74,52.14,52.14,52.15,52.20,52.26,52.28,52.28,52.30,0.14
OSL Mismatch Diff % (%),-0.01,-1.56,0.78,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Output Sequence Length (tokens),127.99,126.00,129.00,16383.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.20
Output Token Count (tokens),127.99,126.00,129.00,16383.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.20
Output Token Throughput Per User (tokens/sec/user),19.16,18.79,19.33,2452.05,19.12,19.13,19.13,19.13,19.16,19.17,19.18,19.18,19.33,0.05
Prefill Throughput Per User (tokens/sec/user),487.74,151.19,639.75,62430.47,151.23,161.82,161.95,390.61,591.92,605.15,609.99,612.05,633.83,189.34
Request Latency (ms),6966.18,6817.53,7445.61,891671.08,6817.77,6819.14,6820.47,6825.17,6832.84,6962.08,7377.19,7378.04,7379.14,237.43
Time to First Output Token (ms),337.02,187.57,793.69,43138.75,189.33,196.06,196.72,198.30,202.73,365.08,740.99,741.55,793.51,235.05
Time to First Token (ms),337.02,187.57,793.69,43138.75,189.33,196.06,196.72,198.30,202.73,365.08,740.99,741.55,793.51,235.05
Time to Second Token (ms),54.05,51.88,105.21,6918.73,51.95,52.23,52.63,52.76,52.87,54.14,54.29,54.45,92.92,6.50

Metric,Value
Benchmark Duration (sec),27.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),586.69
Request Count,128.00
Request Throughput (requests/sec),4.58
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),16383.00
Total Output Tokens (tokens),16383.00
Total Token Throughput (tokens/sec),1136.75


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
