# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: ee70ca557fa7
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine,model_name,reason,sleep_state,Description
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0004,0.0004,0.0004,0,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0006,0.0002,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0004,0.0005,0.0006,1,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0004,0.0000,0.0012,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0007,0.0009,0.0011,0.0011,10,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0006,0.0002,0.0000,0.0000,0.0000,0.0001,0.0002,0.0003,0.0004,0.0005,0.0006,11,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0008,0.0002,0.0000,0.0000,0.0000,0.0000,0.0003,0.0005,0.0006,0.0007,0.0008,12,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0012,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0004,0.0009,0.0011,0.0011,13,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0003,0.0004,0.0004,14,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0008,0.0002,0.0000,0.0000,0.0000,0.0001,0.0002,0.0004,0.0006,0.0007,0.0008,15,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0008,0.0002,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0006,0.0007,0.0008,2,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0006,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0005,0.0005,0.0006,3,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0002,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0004,0.0004,0.0004,4,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0004,0.0000,0.0018,0.0006,0.0000,0.0000,0.0000,0.0000,0.0002,0.0009,0.0013,0.0016,0.0017,5,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0004,0.0000,0.0014,0.0004,0.0000,0.0000,0.0000,0.0000,0.0003,0.0007,0.0010,0.0012,0.0013,6,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0012,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0006,0.0009,0.0010,0.0011,7,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0003,0.0000,0.0008,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003,0.0005,0.0006,0.0007,0.0008,8,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0004,0.0000,0.0018,0.0005,0.0000,0.0000,0.0000,0.0000,0.0002,0.0006,0.0013,0.0016,0.0017,9,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.1050,0.0000,2.0000,0.8788,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,2.0000,2.0000,0,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.5470,0.0000,3.0000,1.1711,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,3.0000,3.0000,3.0000,1,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,2.4862,0.0000,6.0000,2.4074,0.0000,0.0000,0.0000,0.0000,1.0000,4.0000,6.0000,6.0000,6.0000,10,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.5083,0.0000,3.0000,1.0986,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,3.0000,3.0000,3.0000,11,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.9890,0.0000,4.0000,1.5705,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,4.0000,4.0000,4.0000,12,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.9945,0.0000,6.0000,2.2620,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,6.0000,6.0000,6.0000,13,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.1105,0.0000,2.0000,0.8749,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,2.0000,2.0000,14,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.8674,0.0000,4.0000,1.5542,0.0000,0.0000,0.0000,1.0000,2.0000,4.0000,4.0000,4.0000,4.0000,15,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.7680,0.0000,4.0000,1.4687,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,4.0000,4.0000,4.0000,2,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.3260,0.0000,3.0000,1.1589,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,3.0000,3.0000,3.0000,3,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.3260,0.0000,2.0000,0.9480,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,3.1492,0.0000,9.0000,3.9122,0.0000,0.0000,0.0000,0.0000,2.0000,9.0000,9.0000,9.0000,9.0000,5,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,2.7735,0.0000,7.0000,3.0090,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,7.0000,7.0000,7.0000,6,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,2.2486,0.0000,6.0000,2.5796,0.0000,0.0000,0.0000,0.0000,2.0000,6.0000,6.0000,6.0000,6.0000,7,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,1.8619,0.0000,4.0000,1.8220,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,4.0000,4.0000,8,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_running,requests,2.9227,0.0000,9.0000,3.4760,0.0000,0.0000,0.0000,0.0000,1.0000,3.0000,9.0000,9.0000,9.0000,9,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests in model execution batches.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
127.0.0.1:8000,gauge,vllm:num_requests_waiting,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,Qwen/Qwen3-30B-A3B-FP8,,,Number of requests waiting to be processed.
