Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),9.86,9.55,10.07,394.34,9.55,9.56,9.61,9.80,9.89,9.94,10.04,10.06,10.07,0.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,5120.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,40.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,2.11,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.16,1.61,1.97,0.53
HTTP Connection Overhead (ms),0.18,0.00,2.11,7.01,0.00,0.00,0.00,0.00,0.00,0.00,0.16,1.61,1.97,0.53
HTTP Connection Reused (ratio),0.90,0.00,1.00,36.00,0.00,0.00,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),34.31,34.00,34.42,1372.38,34.04,34.16,34.23,34.29,34.32,34.37,34.38,34.38,34.41,0.08
HTTP Data Sent (KB),0.61,0.54,0.67,24.29,0.54,0.55,0.57,0.59,0.61,0.63,0.64,0.66,0.67,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12986.71,12717.14,13408.89,519468.45,12717.15,12717.41,12754.09,12871.96,12937.76,13054.91,13317.91,13391.79,13408.82,201.34
HTTP Receiving (ms),12770.63,12512.89,13202.08,510825.13,12512.99,12517.17,12557.06,12678.23,12747.22,12816.47,13010.40,13179.83,13201.98,183.64
HTTP Sending (ms),0.45,0.20,2.57,17.99,0.20,0.20,0.21,0.23,0.26,0.29,0.49,2.04,2.43,0.58
HTTP Total Time (ms),12986.89,12717.14,13408.89,519475.46,12717.15,12717.41,12754.09,12871.96,12937.76,13054.91,13319.81,13391.79,13408.82,201.58
HTTP Waiting (TTFB) (ms),215.63,186.55,382.27,8625.32,186.82,188.29,189.07,192.06,195.34,227.09,252.59,293.06,382.26,45.60
Input Sequence Length (tokens),120.00,120.00,120.00,4800.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00
Inter Chunk Latency (ms),100.56,89.60,147.26,510824.71,91.49,92.67,93.37,94.65,96.65,99.75,115.22,130.19,137.56,10.73
Inter Token Latency (ms),100.56,98.53,103.95,4022.24,98.53,98.56,98.87,99.83,100.37,100.92,102.44,103.78,103.95,1.45
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,5120.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,5120.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),9.95,9.62,10.15,397.87,9.62,9.64,9.76,9.91,9.96,10.02,10.11,10.15,10.15,0.14
Prefill Throughput Per User (tokens/sec/user),572.46,311.57,642.06,22898.36,311.76,410.38,475.17,527.50,612.99,623.77,633.56,636.18,641.21,83.83
Request Latency (ms),12986.82,12717.24,13409.00,519472.89,12717.24,12717.50,12754.21,12872.07,12937.86,13055.02,13318.16,13391.88,13408.92,201.35
Time to First Output Token (ms),216.20,186.90,385.14,8648.18,187.15,188.63,189.41,192.38,195.77,227.49,253.01,293.56,384.91,46.03
Time to First Token (ms),216.20,186.90,385.14,8648.18,187.15,188.63,189.41,192.38,195.77,227.49,253.01,293.56,384.91,46.03
Time to Second Token (ms),109.65,94.35,137.22,4386.07,94.56,94.98,96.14,97.75,102.57,122.28,133.51,135.10,137.00,14.89

Metric,Value
Benchmark Duration (sec),129.95
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.40
Request Count,40.00
Request Throughput (requests/sec),0.31
Total Input Sequence Length (tokens),4800.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),76.34


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
