# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: 5809ef9da68c
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine,model_name,reason,sleep_state,Description
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0002,0.0002,0,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0002,0.0002,1,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0002,0.0002,0.0002,10,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0003,0.0004,11,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0003,0.0004,12,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0002,0.0002,13,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0002,14,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0002,0.0002,2,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0003,0.0003,0.0004,3,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,4,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0001,0.0000,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,5,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
127.0.0.1:8000,gauge,vllm:kv_cache_usage_perc,ratio,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0002,6,Qwen/Qwen3-30B-A3B-FP8,,,KV-cache usage. 1 means 100 percent usage.
